1,10045.3,995.39
2,1,497.695
4,-0.95827,11926.6
8,-0.5839,28662.8
16,0.114627,25715.2
32,-0.32206,37931.3
64,-0.144298,44327.7
128,0.077412,41142.8
256,-0.00829669,41487
512,-0.0915068,45665.7
1024,0.0313543,44277.4
2048,0.0265789,43131
4096,-0.0107449,43599.5
8192,0.000402459,43582
16384,-0.0111631,44074
32768,-0.004818,44287.4
65536,-0.00830597,44658.3
131072,-0.000866553,44697
262144,-0.00356205,44856.8
524288,-0.0031901,45000.4
1048576,-1.07064e-06,45000.4
2097152,-1.07399e-06,45000.4
4194304,5.2172e-06,45000.2
8388608,-1.47982e-06,45000.3
16777216,3.80789e-07,45000.3
33554432,1.24321e-06,45000.2
67108864,3.13372e-08,45000.2
134217728,-3.7563e-07,45000.2
268435456,3.41784e-07,45000.2
536870912,-1.81652e-08,45000.2
1073741824,3.99127e-08,45000.2
